k,Mushrooms BIC
2,77120.73905086116
3,66239.5402847675
4,57020.08159510226
5,50022.585056089796
6,47336.910746066605
7,38193.85824915223
8,37398.449216492365
9,35801.57127307072
10,34080.505319153
15,20509.53919058195
20,9998.768974302086
25,7453.854527841738
30,4232.244430286628
35,-4117.875030474444
