k,Diabetes BIC
2,5683.29142472564
3,5650.674828767046
4,5439.091361034557
5,5506.61674519318
6,5521.359370546689
7,5620.1495543863575
8,5743.287346246042
9,5769.347469617217
10,5837.745018126689
15,6275.236718779865
20,6627.679219384065
25,6815.7239152254115
30,7032.349425621918
35,7280.030241997278
