k,Mushrooms log-likelihood
2,-9.614600178000426
3,-8.210127300911019
4,-7.014415739955834
5,-6.097845152700748
6,-5.72296077511768
7,-4.536847982096021
8,-4.399434116744527
9,-4.161333202302358
10,-3.907630779003898
15,-2.015294999322845
20,-0.5074059422914393
25,-0.00025253473484695516
30,0.5919128892909366
35,1.8283634091968661
