k,Diabetes sse (left)
2,1892.3762470603929
3,1519.2744565455891
4,1364.2633514242552
5,1234.8288813447807
6,1112.051806109066
7,1022.144919415999
8,948.2430378016375
9,904.5882833764736
10,848.3478729667854
15,692.871367686641
20,584.1507397092004
25,521.9898459230178
30,466.31165251779055
35,424.50246529315797
