k,Mushrooms sse (left)
2,46568.643068978505
3,37934.7342662677
4,29751.909044804746
5,22362.245690250806
6,16891.17695061609
7,11786.50497254014
8,10580.091755831556
9,9868.759847079855
10,9222.337989533953
15,7182.944501087924
20,5942.799607312303
25,5122.1237254841135
30,4552.614177601055
35,4110.69397741138
