,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_km__n_clusters,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,0.09843244552612304,0.026901276157987243,0.0010970115661621093,0.0001918642107358976,0.1,"(50, 50)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 2}",0.8163265306122449,0.6452119309262166,0.717817896389325,0.6978021978021978,0.7556089743589745,0.7267154195011338,0.05747849201154497,9,0.7903846153846154,0.6981684981684981,0.7750915750915751,0.7377289377289377,0.7040816326530611,0.7410910518053375,0.03690321807604658
1,0.12709360122680663,0.039799876513881755,0.0012590885162353516,0.000307513019024381,0.1,"(50, 50)",3,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 3}",0.5000000000000002,0.5,0.6785714285714286,0.5949764521193093,0.5472756410256412,0.5640386359672075,0.06724393429066519,211,0.5,0.4999999999999999,0.653846153846154,0.6487179487179489,0.5256802721088435,0.5656488749345892,0.0705638289760788
2,0.10828475952148438,0.008693462323882982,0.0011021614074707032,6.828058360769816e-05,0.1,"(50, 50)",4,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 4}",0.47581254724111877,0.7476452119309263,0.6228414442700158,0.48979591836734687,0.5440705128205129,0.5758511056844391,0.10026414195683155,191,0.4698717948717949,0.657142857142857,0.631868131868132,0.49743589743589745,0.5372448979591836,0.558712715855573,0.07368667793831066
3,0.15005016326904297,0.03440958412375166,0.0011787891387939453,3.132983425535325e-05,0.1,"(50, 50)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 5}",0.6757369614512473,0.5,0.5722135007849293,0.4795918367346938,0.8012820512820513,0.6054300831443689,0.1190878886468131,144,0.7339743589743589,0.4999999999999999,0.6443223443223444,0.5,0.7431972789115646,0.6242987964416535,0.1072071846602929
4,0.1647416114807129,0.04781307529427057,0.001176166534423828,0.00011544417663736554,0.1,"(50, 50)",6,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 6}",0.4897959183673471,0.5,0.6208791208791209,0.5745682888540031,0.7612179487179489,0.588568463282749,0.09836753417073917,176,0.5166666666666667,0.4999999999999999,0.5930402930402932,0.6124542124542125,0.7457482993197279,0.59358189429618,0.08738946815690099
5,0.2323312282562256,0.06885605071879763,0.0013428211212158203,0.00024612491166219134,0.1,"(50, 50)",7,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 7}",0.7498110355253214,0.7374411302982732,0.5,0.7374411302982732,0.8325320512820513,0.7112244801054324,0.11137190026831642,20,0.7576923076923077,0.7373626373626373,0.5,0.7505494505494505,0.7416666666666666,0.6974542124542125,0.09897810053580224
6,0.19850335121154786,0.03265647868932032,0.001720428466796875,0.0011318007641156608,0.1,"(50, 50)",8,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 8}",0.6239606953892669,0.6809262166405023,0.6911302982731554,0.6322605965463107,0.7716346153846155,0.6795886873267826,0.05266909133838323,61,0.6509615384615384,0.6923076923076922,0.5912087912087912,0.7084249084249085,0.7494897959183674,0.6784785452642595,0.053858747349417285
7,0.1664677619934082,0.030105304606616555,0.0014021873474121093,0.00039842874562684454,0.1,"(50, 50)",9,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 9}",0.6878306878306879,0.6911302982731554,0.6491365777080063,0.7001569858712715,0.5000000000000002,0.6461517917708395,0.07454444274463641,97,0.7355769230769231,0.7135531135531135,0.6274725274725275,0.6417582417582417,0.5,0.6436721611721612,0.08274975997771189
8,0.19876136779785156,0.03355425681625115,0.0011846542358398438,0.00011491443106881255,0.1,"(50, 50)",10,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 10}",0.5000000000000002,0.5192307692307693,0.7362637362637362,0.6989795918367347,0.7924679487179488,0.6486084946799232,0.11811674824887837,90,0.5,0.5377289377289376,0.721978021978022,0.7186813186813187,0.7321428571428571,0.6421062271062271,0.10142843914232905
9,0.2264486312866211,0.01384723928271112,0.0014402389526367188,0.0005321289557287442,0.1,"(50, 50)",15,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 15}",0.7294028722600152,0.7476452119309263,0.7554945054945055,0.6130298273155416,0.6947115384615385,0.708149301315968,0.051932865523288935,25,0.7326923076923076,0.7223443223443222,0.7611721611721611,0.693040293040293,0.7275510204081633,0.7273600209314495,0.021793262928701675
10,0.22448329925537108,0.030319029779318104,0.0012283802032470703,0.0001436912520498575,0.1,"(50, 50)",20,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 20}",0.6239606953892669,0.6718995290423863,0.7543171114599686,0.717032967032967,0.7820512820512822,0.7094307420974089,0.056722356768508606,21,0.7067307692307693,0.7091575091575091,0.7703296703296705,0.73992673992674,0.7329931972789115,0.73182757718472,0.023208395195290884
