k,Diabetes BIC
2,3991.985592054361
3,4001.1412243726163
4,4016.0281859423158
5,4086.608264335921
6,4117.850349972655
7,4187.813419311286
8,4184.729676846804
9,4225.379568277801
10,4257.159753817716
15,4467.592462488113
20,4876.545339337508
25,5057.165525970242
30,5334.886878893258
35,5497.648006770343
