k,GMM,Kmeans
2,0.6906666666666667,0.7653333333333333
3,0.68,0.7333333333333333
4,0.6693333333333333,0.6933333333333334
5,0.7173333333333334,0.7333333333333333
6,0.72,0.7226666666666667
7,0.7413333333333333,0.76
8,0.7066666666666667,0.7653333333333333
9,0.7493333333333333,0.752
10,0.7653333333333333,0.7626666666666667
15,0.7653333333333333,0.7626666666666667
20,0.7546666666666667,0.7786666666666666
25,0.7546666666666667,0.7866666666666666
30,0.8,0.7946666666666666
35,0.808,0.8106666666666666
