k,Mushrooms sse (left)
2,28275.475384030146
3,21365.78701307567
4,16695.131441564998
5,14263.53068004377
6,12635.339175911964
7,11000.85133220736
8,9607.240976166273
9,8799.417917695784
10,7699.447999696311
15,5054.2494978052055
20,3588.85323386659
25,2650.1188277344036
30,1986.9701328953354
35,1475.2680953774066
