k,Mushrooms BIC
2,22955.68039451447
3,-14408.878398643155
4,-63107.053313847195
5,-134571.20057906414
6,-148041.616978146
7,-200792.50095913984
8,-222165.88005072618
9,-222594.58714945437
10,-234167.2528753357
15,-283942.4707213037
20,-305549.86781625927
25,-309830.58279923367
30,-320495.7233350412
35,-343737.73704705376
