k,Diabetes log-likelihood
2,-5.093472983068292
3,-4.987141972306558
4,-4.888452733880082
5,-4.864020984552147
6,-4.7871385782150515
7,-4.761884150147152
8,-4.639233973008433
9,-4.574895307730354
10,-4.498730367930833
15,-4.186614710227654
20,-4.139192610096474
25,-3.787326923009745
30,-3.5649294576433905
35,-3.1892516922157976
