,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_gmm__n_components,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,0.0687828540802002,0.013294112175137747,0.0012493610382080078,4.371179519496624e-05,0.1,"(50, 50)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 2}",0.6662887377173092,0.5,0.5,0.5,0.5000000000000002,0.5337011841773747,0.06684577444743128,97,0.7118589743589745,0.4999999999999999,0.5,0.5,0.5,0.5423717948717949,0.08474358974358981
1,0.10319504737854004,0.011610015891965857,0.0013743877410888673,0.00015785287750422422,0.1,"(50, 50)",3,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 3}",0.6201814058956917,0.6287284144427001,0.5,0.5,0.5841346153846155,0.5667050119192977,0.05646877826853968,60,0.6628205128205128,0.6157509157509157,0.5,0.5,0.5613945578231292,0.5679931972789115,0.06412910609319764
2,0.08478903770446777,0.004568696035408771,0.0013875961303710938,5.132814800244336e-05,0.1,"(50, 50)",4,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 4}",0.5000000000000002,0.5,0.5,0.5,0.5000000000000002,0.5,1.4043333874306804e-16,161,0.5,0.5208791208791208,0.5,0.5,0.5,0.5041758241758242,0.008351648351648321
3,0.09988207817077636,0.00461161204365556,0.0015488624572753905,0.00023189957347247164,0.1,"(50, 50)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 5}",0.5000000000000002,0.5,0.5,0.5,0.5000000000000002,0.5,1.4043333874306804e-16,161,0.5,0.4999999999999999,0.5,0.5,0.5,0.5,4.965068306494546e-17
4,0.11899127960205078,0.011132982381540613,0.0018605709075927735,0.00027211498619981414,0.1,"(50, 50)",6,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 6}",0.543461829176115,0.5066718995290422,0.5,0.5,0.5472756410256412,0.5194717037812276,0.021298266394887633,127,0.6150641025641026,0.5432234432234432,0.5,0.5,0.5447278911564626,0.5406030873888017,0.04210829956852586
5,0.1315002918243408,0.01934426298898173,0.0018185138702392577,0.0003956824102819147,0.1,"(50, 50)",7,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 7}",0.5000000000000002,0.5,0.5,0.5,0.5000000000000002,0.5,1.4043333874306804e-16,161,0.5,0.4999999999999999,0.5,0.5,0.5,0.5,4.965068306494546e-17
6,0.12696046829223634,0.012415765964036356,0.002181243896484375,0.00046477416875844607,0.1,"(50, 50)",8,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 8}",0.5000000000000002,0.5,0.5,0.5,0.5000000000000002,0.5,1.4043333874306804e-16,161,0.5,0.4999999999999999,0.5,0.5,0.5,0.5,4.965068306494546e-17
7,0.14355573654174805,0.010968344920945937,0.0016109466552734375,5.999634781291961e-05,0.1,"(50, 50)",9,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 9}",0.48601662887377184,0.5863422291993721,0.6114599686028257,0.6770015698587127,0.5000000000000002,0.5721267903172665,0.07126658861783,56,0.6060897435897437,0.6915750915750914,0.6615384615384615,0.598901098901099,0.5,0.6116208791208791,0.06562933497821026
8,0.1719738483428955,0.00743826321407364,0.0017141342163085938,0.00025828040384066035,0.1,"(50, 50)",10,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 10}",0.5000000000000002,0.5066718995290422,0.4964678178963893,0.6275510204081632,0.44310897435897445,0.5149116518402234,0.06067602630208551,135,0.5,0.5736263736263735,0.5663003663003663,0.6673992673992675,0.49268707482993196,0.5600026164311879,0.06307298181051264
9,0.21703023910522462,0.04443173244120425,0.001929473876953125,0.00027743676687655086,0.1,"(50, 50)",15,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 15}",0.479591836734694,0.5,0.5553375196232339,0.5,0.5000000000000002,0.5069314495028782,0.02547179807773795,144,0.5528846153846154,0.4999999999999999,0.5721611721611721,0.4945054945054945,0.5069727891156462,0.5253048142333857,0.031244706987912905
10,0.2506298065185547,0.030843620774015087,0.0026635646820068358,0.0010873131032531449,0.1,"(50, 50)",20,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 20}",0.5000000000000002,0.5565149136577707,0.554160125588697,0.5,0.5072115384615385,0.5235580847723705,0.026090805846658766,118,0.5,0.5743589743589743,0.6142857142857142,0.5,0.5170068027210885,0.5411302982731554,0.04565348993475718
11,0.29744300842285154,0.04248748975072846,0.002594280242919922,0.0007289085619915484,0.1,"(50, 50)",25,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 25}",0.5000000000000002,0.6106750392464678,0.5090266875981161,0.5,0.5528846153846155,0.5343762428048142,0.04285162112400675,92,0.5432692307692307,0.5923076923076922,0.5490842490842491,0.5,0.6037414965986394,0.5576805337519622,0.03722708193148192
