k,Diabetes sse (left)
2,1086.809110887446
3,889.6426115117274
4,740.9402015022815
5,650.163760858414
6,593.9523000879166
7,548.4817062786815
8,521.2917875604444
9,478.2689218245845
10,443.5968528389876
15,352.32235916686153
20,289.28364340440083
25,247.9423034278004
30,215.95628918216238
35,189.14593696969536
