k,Mushrooms log-likelihood
2,-2.747464388773868
3,2.015303857663821
4,8.201893224961612
5,17.248529369899217
6,19.009520933664067
7,25.705244605709325
8,28.459070678582783
9,28.58165655134843
10,30.104237226520254
15,36.7010462828519
20,39.759184390563895
25,40.64060363998679
30,42.32408640107215
35,45.58757835514808
