,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_ica__n_components,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,0.18061575889587403,0.0011625703435808091,0.0016223430633544923,0.00017862720912703895,0.1,"(50, 50)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'ica__n_components': 2}",0.5,0.5,0.5,0.4999999999999999,0.5,0.5,4.9646316826264464e-17,370,0.5,0.5,0.5,0.5,0.5,0.5,0.0
1,0.4811717510223389,0.15713033178331418,0.0016105175018310547,7.243547246960957e-05,0.1,"(50, 50)",3,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'ica__n_components': 3}",0.8658001428743726,0.8439083935409514,0.8437813688919733,0.8522068209138338,0.8555791704360973,0.8522575614917592,0.008198704789745158,270,0.8673626429801842,0.8583902941679692,0.8337334914223913,0.8561647958429235,0.8504419061421703,0.8532186261111276,0.011161182082513165
2,0.879973316192627,0.33605748716401973,0.0018194198608398437,0.00011852385876674306,0.1,"(50, 50)",4,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'ica__n_components': 4}",0.8753065459347293,0.8894250430644542,0.9064432478653661,0.8897023285786871,0.8945819339967531,0.8910890437230397,0.010018600467924653,207,0.8759325468132304,0.9019737519519199,0.8831043867778089,0.8914843842539582,0.8963985384891113,0.8897787216572057,0.009292075414709082
3,0.6582794189453125,0.21646216621538494,0.0017690658569335938,8.869376231457748e-05,0.1,"(50, 50)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'ica__n_components': 5}",0.8803720918725512,0.860839849801098,0.8943449245907327,0.8709398584759521,0.8652516327314637,0.8743507306607996,0.011940708547059,256,0.8881242022232412,0.8777629778961769,0.8748793235460568,0.8661924575571137,0.8835188673329323,0.8780955657111041,0.007511651786635902
4,0.5299095630645752,0.1525531312410945,0.0017425060272216798,3.0278821627916477e-05,0.1,"(50, 50)",6,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'ica__n_components': 6}",0.8796020546695489,0.8820622606669724,0.904277632508396,0.8945819339967531,0.8838003296444549,0.8888632132455847,0.009251627402063117,222,0.892997998587238,0.8922099913523271,0.8884673761319586,0.8906598747210022,0.8951280970397398,0.8918926675664531,0.002237983670102171
5,0.5669283866882324,0.16550749841860857,0.0013863086700439454,0.00016883770211621618,0.1,"(50, 50)",7,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'ica__n_components': 7}",0.8864380676704983,0.8803644677977024,0.9103469321998191,0.8920755208010608,0.8800236699589803,0.8898491316743538,0.011163791107866259,215,0.8895896329297461,0.8901666206025192,0.891815639668431,0.8884086346664065,0.8959841547074074,0.8911929365149021,0.0026351384975871516
6,0.4873162269592285,0.04809752546410242,0.001393604278564453,0.00013326258412849025,0.1,"(50, 50)",8,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'ica__n_components': 8}",0.8842454717792189,0.8850767724585774,0.9024760512064243,0.8867513291115711,0.8945819339967531,0.8906251895086216,0.006965405947486857,212,0.8891233595231308,0.8938676232525624,0.8898797841875329,0.8885233111683494,0.8896933985818436,0.8902174953426838,0.0018857122370979878
7,0.6570620059967041,0.21300911193877214,0.0013695716857910155,0.00015392120294060077,0.1,"(50, 50)",9,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'ica__n_components': 9}",0.8985870281202742,0.9048492434287981,0.9053170659164984,0.8932017027499286,0.8948359832947096,0.8993580690747852,0.004991710277243362,166,0.8986227120072373,0.8995246102547308,0.885999557164833,0.8980519123588947,0.8979959773225039,0.89603895382164,0.005049693761398526
8,0.7110750198364257,0.08053867204103883,0.0013817310333251952,0.00016879830655510357,0.1,"(50, 50)",10,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'ica__n_components': 10}",0.8958547876831158,0.8948994956191986,0.9084121299245288,0.9023257903411694,0.888235348791097,0.8979451427752358,0.006879473261854844,173,0.900542798012219,0.9008896961082377,0.9000136063427622,0.8989954531976647,0.9023996517705277,0.9005682410862821,0.0011170789781235865
9,0.4627980709075928,0.13754624628631093,0.0013745784759521484,0.0001031872305097945,0.1,"(50, 50)",11,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'ica__n_components': 11}",0.9011955678019303,0.8936462890213525,0.904444933265587,0.8840543789424113,0.88272062012814,0.8932137618434863,0.008763838406844653,198,0.906818512758232,0.8945387469158311,0.8958364784694626,0.8884157958994392,0.8881131854170973,0.8947445438920123,0.0067976961402464115
10,0.5507444381713867,0.16307820385416502,0.0013299942016601562,1.0135005259901671e-05,0.1,"(50, 50)",12,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'ica__n_components': 12}",0.8876302337016524,0.9103872083080318,0.9036425092635048,0.8785396502794542,0.893097914317227,0.8946582669324207,0.011310922875250953,187,0.9001311297138537,0.9070485500632124,0.8868455503968872,0.8830269680423202,0.8909251306634708,0.8935954657759488,0.008810057565448568
