,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_pca__n_components,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,0.8917202472686767,0.3062341147386216,0.001833343505859375,0.0003591817983145859,0.1,"(50, 50)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 2}",0.9107019708622871,0.9364257122674828,0.9430898590955846,0.9434074207180301,0.9259213934294177,0.9319055415347764,0.012356995489395738,345,0.9114514270134957,0.9445921851980025,0.9360917048147486,0.9427122647534949,0.9395604512583254,0.9348816066076134,0.012066016611183672
1,1.1988948822021483,0.18766435651883662,0.0019337654113769532,0.00011450382331665935,0.1,"(50, 50)",3,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 3}",0.9848884064559423,0.9705891465182853,0.9827912582256204,0.9782927267544894,0.9705256341937961,0.9774187483536553,0.005993320578581833,311,0.9780905716728837,0.9798429677078712,0.9775314378130135,0.9745043652554005,0.9798429677078712,0.9779624620314079,0.0019612868463197964
2,1.212097978591919,0.18466835180595131,0.0017580032348632813,0.00012601883234188735,0.1,"(50, 50)",4,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 4}",0.9895039908956244,0.9813475146543071,0.9894956811619348,0.9885832724028107,0.9743022938792709,0.9846474048795312,0.006008042245926532,270,0.9883710482941518,0.9868951370969675,0.9867933314597997,0.9872020056097616,0.9860304665949768,0.9870583978111315,0.0007612136765644227
3,1.4286303520202637,0.18292628406948233,0.0018996715545654297,0.00014894651135307287,0.1,"(50, 50)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 5}",0.9928995766341644,0.9814110269787961,0.9912569863556937,0.9919788581413505,0.9813475146543071,0.9877796931480226,0.005251083580252175,254,0.992853701684161,0.9900240152917485,0.99075533202186,0.9890102169505226,0.9894031170331282,0.990409276596284,0.0013574328417651563
4,1.0296115398406982,0.2803930867369125,0.0020402908325195313,0.0002945912775744742,0.1,"(50, 50)",6,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 6}",0.9928995766341644,0.9772300571301105,0.9894956811619348,0.9938036756595986,0.9842117655806574,0.9875290959088824,0.006150558473770673,255,0.9923181068989876,0.9873826815837085,0.987642227894435,0.9880982242464641,0.9914866487519712,0.9893855778751133,0.002084340057663153
5,1.0174684047698974,0.2065987487860818,0.00181121826171875,0.0001697158770605161,0.1,"(50, 50)",7,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 7}",0.9910780830093919,0.9891146072150002,0.9937401633351096,0.9982386948062411,0.9864408932621168,0.9917223749936486,0.004040532496104942,206,0.9946684501753558,0.9931758287869181,0.9946069141124291,0.9942140140298231,0.9929951528129709,0.9939320719834994,0.0007108976526033077
6,0.9091453075408935,0.04588800638596254,0.0018499374389648437,0.00012692984194979888,0.1,"(50, 50)",8,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 8}",0.9954462659380692,0.9911299617067156,0.993081803873942,0.9928912669004747,0.9874803266702192,0.9920065300725659,0.00264688078681098,193,0.9964138772879928,0.9959591291011608,0.9939702417864528,0.9940017899211646,0.9949926529620022,0.9950675382117546,0.000995293915060692
7,0.7359230995178223,0.18119625032472855,0.002008485794067383,0.00016328949944964633,0.1,"(50, 50)",9,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 9}",0.9973296099405926,0.9893686565129565,0.9861000954233948,0.9972627737226276,0.9856555091519709,0.991144416935006,0.005185123267816096,220,0.9977824904266788,0.9930037656472941,0.9863688832424823,0.9988915572546387,0.9913762302804803,0.9934845853703148,0.004539094588005533
8,0.6892983436584472,0.08470222631645107,0.0017968177795410155,3.958167777766087e-05,0.1,"(50, 50)",10,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 10}",0.9991511035653652,0.9973262860471168,0.9966044142614601,0.996477389612482,0.9913204986801827,0.996176461677277,0.0026086956557001026,118,0.9978460027511681,0.9971306681159454,0.999151103565365,0.9954171011793197,0.9976182126026863,0.9974326176428969,0.001209297873506566
9,0.6130311965942383,0.09411564273278969,0.0019203662872314454,0.00016640493688420673,0.1,"(50, 50)",11,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 11}",0.9973296099405926,0.9982386948062408,0.9930182915494526,0.99830220713073,0.9896227058109129,0.9953026583913939,0.0034409164022506725,135,0.9955967370156024,0.9985144312393888,0.996706219898628,0.9983022071307299,0.9973902144266718,0.997301961942204,0.0010715466735133322
10,0.8455043315887452,0.21182344376170503,0.002213144302368164,0.00039242871323285174,0.1,"(50, 50)",12,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 12}",0.996542563883709,0.9964138772879926,0.99830220713073,0.9981751824817517,0.9939307003085769,0.9966728832951728,0.0015819638221437498,90,0.9936390857943068,0.996706219898628,0.9995755517826825,0.9995597777153266,0.9982706589960183,0.9975502588373925,0.002221199240350757
