,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_pca__n_components,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,0.04510211944580078,0.0048055116439848725,0.0006676673889160156,4.045243190733931e-05,0.1,"(50, 50)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 2}",0.6620300751879699,0.5973684210526314,0.5509652509652508,0.6646718146718148,0.6853281853281852,0.6320639095852267,0.05010353040973002,93,0.649029242569511,0.6544822627037391,0.6610714285714288,0.648452380952381,0.6713095238095238,0.6568689677213168,0.008534482075312926
1,0.04942078590393066,0.018147909875458754,0.0006330013275146484,3.418227381798468e-05,0.1,"(50, 50)",3,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 3}",0.6199248120300751,0.7086466165413532,0.5915057915057913,0.7013513513513514,0.7108108108108109,0.6664398237023935,0.05047181944753006,50,0.6524808245445829,0.7084491850431447,0.6892857142857142,0.6936904761904763,0.7167857142857144,0.6921383828699266,0.022166649983741883
2,0.05248360633850098,0.007935459031599182,0.00067596435546875,6.42258055826122e-05,0.1,"(50, 50)",4,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 4}",0.6725563909774435,0.6281954887218044,0.5270270270270269,0.7044401544401543,0.6583011583011582,0.6381497492788288,0.06062171083482875,88,0.7035234899328858,0.6736936720997123,0.5677380952380953,0.7101190476190478,0.6775000000000001,0.6665148609779482,0.05138097268101812
3,0.043393182754516604,0.00694511493191997,0.0006959438323974609,5.517461307890433e-05,0.1,"(50, 50)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 5}",0.4894736842105262,0.5684210526315788,0.6264478764478766,0.5994208494208493,0.5111969111969111,0.558880176433837,0.051743118286598264,117,0.5045541706615532,0.6132310642377755,0.6535714285714287,0.6111904761904764,0.4953571428571429,0.5755808565036753,0.06363764109561462
4,0.05965399742126465,0.014089278175296946,0.0006945133209228516,6.784858267046719e-05,0.1,"(50, 50)",6,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 6}",0.5958646616541352,0.6857142857142856,0.6073359073359074,0.7115830115830115,0.7465250965250966,0.6692980185629406,0.05872266587247982,45,0.6338566634707574,0.6756951102588686,0.5670238095238097,0.7423809523809525,0.7363095238095239,0.6710532118887824,0.06568604083109521
5,0.04840531349182129,0.009226951334925638,0.0006897449493408203,4.744182267237912e-05,0.1,"(50, 50)",7,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 7}",0.5323308270676691,0.594736842105263,0.6598455598455599,0.7019305019305018,0.6057915057915056,0.6187207411553192,0.05802227784425913,101,0.5731783317353787,0.6477109300095877,0.690952380952381,0.690952380952381,0.6296428571428573,0.646487376158517,0.04384911447627136
6,0.05761075019836426,0.013384739311063756,0.0006657123565673828,7.212142707861909e-05,0.1,"(50, 50)",8,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 8}",0.538345864661654,0.6906015037593984,0.6868725868725869,0.7671814671814672,0.6598455598455598,0.6683679226754793,0.07434854857504455,46,0.5646812080536912,0.7627277085330775,0.6935714285714285,0.7564285714285715,0.6942857142857143,0.6943389261744966,0.07119531635246278
7,0.05348982810974121,0.013855548337903928,0.0005201816558837891,2.1641999191214555e-05,0.1,"(50,)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'pca__n_components': 2}",0.4349624060150375,0.6285714285714284,0.6202702702702704,0.5996138996138994,0.7077220077220078,0.5979804751195518,0.0896218515348837,105,0.43698465963566635,0.6885306807286672,0.7173809523809525,0.7103571428571428,0.674404761904762,0.6455316395014382,0.10539363092852595
8,0.044344186782836914,0.00849701630792951,0.0005415916442871094,2.9553750048016138e-05,0.1,"(50,)",3,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'pca__n_components': 3}",0.7338345864661653,0.7003759398496239,0.6281853281853282,0.6911196911196911,0.7306949806949807,0.6969175732627658,0.038102986911553886,5,0.7299976030680728,0.708940556088207,0.725,0.7021428571428572,0.7472619047619047,0.7226685842122084,0.015960862511306604
9,0.02956500053405762,0.0038491022845776983,0.0005421161651611329,5.2576221615983614e-05,0.1,"(50,)",4,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'pca__n_components': 4}",0.6796992481203007,0.6439849624060149,0.6154440154440155,0.6909266409266409,0.625096525096525,0.6510705459102989,0.02964428783474164,66,0.6758149568552252,0.6909635666347075,0.6691666666666667,0.6452380952380953,0.6221428571428572,0.6606652285075104,0.024255917008111742
10,0.027738428115844725,0.008914641949236858,0.0005701541900634766,7.005070560933833e-05,0.1,"(50,)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'pca__n_components': 5}",0.4917293233082706,0.5575187969924811,0.4999999999999999,0.5445945945945945,0.5111969111969111,0.5210213931325368,0.025660714269688693,129,0.5049256951102588,0.5229026845637583,0.5000000000000001,0.5665476190476191,0.5645238095238095,0.5317799616490893,0.028603752260255084
