,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_gmm__n_components,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,0.06962814331054687,0.014987659838923601,0.0012985706329345704,7.418865987740085e-05,0.1,"(50, 50)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 2}",0.7089947089947091,0.5,0.5,0.5,0.5000000000000002,0.5423562610229277,0.08401298470324885,57,0.6631410256410255,0.4999999999999999,0.5,0.5,0.5,0.5326282051282051,0.06525641025641023
1,0.11724019050598145,0.01377510539236237,0.00133514404296875,2.7241970179837674e-05,0.1,"(50, 50)",3,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 3}",0.5767195767195769,0.6899529042386185,0.6377551020408163,0.5,0.5000000000000002,0.5810901021377213,0.07502655886394181,23,0.6237179487179487,0.5989010989010988,0.6293040293040294,0.5,0.5,0.5703846153846154,0.05837314413131783
2,0.11301393508911133,0.019295152896226294,0.001351642608642578,3.887097429962855e-05,0.1,"(50, 50)",4,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 4}",0.5000000000000002,0.5,0.5,0.5,0.5000000000000002,0.5,1.4043333874306804e-16,132,0.5,0.4999999999999999,0.5,0.5,0.5,0.5,4.965068306494546e-17
3,0.12016034126281738,0.01194678879155475,0.0015938282012939453,0.0001777306485857999,0.1,"(50, 50)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 5}",0.5000000000000002,0.5,0.5,0.5,0.5000000000000002,0.5,1.4043333874306804e-16,132,0.5,0.4999999999999999,0.5,0.5,0.5,0.5,4.965068306494546e-17
4,0.12070178985595703,0.013092046117274473,0.002101612091064453,0.0005817186515326241,0.1,"(50, 50)",6,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 6}",0.5000000000000002,0.5,0.5192307692307692,0.5,0.5000000000000002,0.5038461538461539,0.007692307692307622,124,0.5,0.4999999999999999,0.5424908424908426,0.5,0.5,0.5084981684981684,0.016996336996337038
5,0.149031925201416,0.007546791254631996,0.001506662368774414,6.666135719575788e-05,0.1,"(50, 50)",7,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 7}",0.5000000000000002,0.5,0.5,0.5,0.5000000000000002,0.5,1.4043333874306804e-16,132,0.5,0.4999999999999999,0.5,0.5,0.5,0.5,4.965068306494546e-17
6,0.14280176162719727,0.020771482887261394,0.0016071796417236328,0.00018148925882508458,0.1,"(50, 50)",8,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 8}",0.5000000000000002,0.5,0.5,0.5,0.5000000000000002,0.5,1.4043333874306804e-16,132,0.5,0.4999999999999999,0.5,0.5,0.5,0.5,4.965068306494546e-17
7,0.1518834114074707,0.01771580682650515,0.0018703460693359375,0.00043522135570563597,0.1,"(50, 50)",9,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 9}",0.5770975056689343,0.6330455259026687,0.543956043956044,0.6106750392464678,0.5000000000000002,0.5731604163032734,0.04720859362226068,26,0.6221153846153846,0.6813186813186812,0.5992673992673994,0.5630036630036631,0.5,0.5931410256410257,0.06039181430755367
8,0.18668603897094727,0.023273521225482655,0.0020271778106689454,0.0006643718856026299,0.1,"(50, 50)",10,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 10}",0.6757369614512474,0.5,0.5949764521193093,0.5,0.685096153846154,0.5911369556369557,0.0807339343086313,16,0.6092948717948719,0.4999999999999999,0.6153846153846154,0.5,0.6183673469387754,0.5686093668236525,0.05609559913170546
9,0.19141502380371095,0.02876581506964145,0.0019068717956542969,0.000266902757593597,0.1,"(50, 50)",15,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 15}",0.48979591836734704,0.5192307692307693,0.5031397174254317,0.48979591836734687,0.4895833333333335,0.49830969823826976,0.011679809673391148,257,0.5298076923076924,0.5520146520146519,0.46776556776556777,0.5278388278388279,0.5246598639455782,0.5204173207744637,0.02804230894063186
10,0.22301340103149414,0.031428278479277635,0.002591657638549805,0.0007044722750507451,0.1,"(50, 50)",20,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 20}",0.5000000000000002,0.48979591836734687,0.5,0.521193092621664,0.5000000000000002,0.5021978021978022,0.01028706745708374,125,0.4971153846153847,0.5516483516483516,0.5,0.5399267399267399,0.5,0.5177380952380952,0.023224201522152634
11,0.21817941665649415,0.013536492352767129,0.0025775909423828127,0.0005472236786278087,0.1,"(50, 50)",25,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 25}",0.5000000000000002,0.5,0.499607535321821,0.5843799058084772,0.5456730769230771,0.5258103087388802,0.03419789048952937,83,0.5,0.5183150183150182,0.6315018315018315,0.584981684981685,0.5494897959183673,0.5568576661433804,0.04719179435076185
