,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_km__n_clusters,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,0.5372058868408203,0.07765255107637262,0.0030249595642089845,2.928517835795625e-05,0.1,"(50, 50)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 2}",0.49999999999999994,0.5000000000000001,0.5,0.5,0.5,0.5,5.551812455597992e-17,229,0.5000000000000001,0.49999999999999994,0.5,0.49999999999999994,0.5,0.5,6.080941944488117e-17
1,0.5921358108520508,0.06975027602039069,0.0030480384826660155,0.0003010404290257398,0.1,"(50, 50)",3,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 3}",0.49999999999999994,0.5000000000000001,0.5,0.5,0.5,0.5,5.551812455597992e-17,229,0.5000000000000001,0.49999999999999994,0.5,0.49999999999999994,0.5,0.5,6.080941944488117e-17
2,0.6735171318054199,0.018234708000234558,0.0038900375366210938,0.0007566928998742935,0.1,"(50, 50)",4,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 4}",0.49999999999999994,0.5000000000000001,0.5,0.5,0.5,0.5,5.551812455597992e-17,229,0.5000000000000001,0.49999999999999994,0.5,0.49999999999999994,0.5,0.5,6.080941944488117e-17
3,0.6890934467315674,0.01451069408352008,0.0032095909118652344,0.0005292323013122368,0.1,"(50, 50)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 5}",0.49999999999999994,0.5013020833333334,0.5462555622977346,0.5,0.5,0.5095115291262136,0.018378936492041684,199,0.5000000000000001,0.5019543973941367,0.5675598477411046,0.49999999999999994,0.5,0.5139028490270483,0.026839175250483967
4,1.4109613418579101,0.9034891912055526,0.003031635284423828,0.0005451547579717655,0.1,"(50, 50)",6,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 6}",0.49999999999999994,0.5000000000000001,0.5,0.9060098098705501,0.9237845065781136,0.665852384770492,0.20331088820955498,121,0.5000000000000001,0.49999999999999994,0.5,0.8963541224273718,0.921719642270568,0.6636147529395879,0.20054680757597504
5,1.4423233985900878,0.9604015100518375,0.0033386707305908202,0.00011448904853234718,0.1,"(50, 50)",7,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 7}",0.49999999999999994,0.5000000000000001,0.5,0.8992339199029127,0.9195923851048189,0.6636598357791582,0.2006497471217597,122,0.5000000000000001,0.49999999999999994,0.5,0.8903662865461842,0.9183752068804325,0.6617482986853234,0.19829830597668727
6,1.6361011028289796,0.7837280880542964,0.0032561779022216796,0.0001784387212254776,0.1,"(50, 50)",8,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 8}",0.9288204953591606,0.5000000000000001,0.9144417475728156,0.5,0.9160434992015006,0.7518643587272376,0.20570680978052244,110,0.9176006451408873,0.49999999999999994,0.9225913247195517,0.49999999999999994,0.9156016667298363,0.7511587273180551,0.2050828810012202
7,1.3589370250701904,0.8075588337156485,0.0034438133239746093,0.000558415842326556,0.1,"(50, 50)",9,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 9}",0.49999999999999994,0.8789315331715211,0.5,0.5,0.9096079748536084,0.6576049850284295,0.19337030077741715,128,0.5000000000000001,0.8985755852426601,0.5,0.49999999999999994,0.9129082730063676,0.6622967716498056,0.1988238057320523
8,1.8781805992126466,0.6202755857597712,0.0029941558837890624,0.0001629302819787228,0.1,"(50, 50)",10,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 10}",0.9032580458030669,0.8851132686084143,0.5,0.8868957322006472,0.9182678901873306,0.8187032160422073,0.15980702485517848,99,0.9015802393978685,0.9083732515807627,0.5,0.8830063823104715,0.9238379952496464,0.8233595737077497,0.16221027516590936
9,2.2493825912475587,0.4367931839467137,0.0034515380859375,0.00010982693296061324,0.1,"(50, 50)",15,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 15}",0.9404478157788538,0.9437955097087379,0.9172228964401294,0.9316090210355986,0.9231222591193693,0.9312438535714774,0.010049491860547061,42,0.9347974842667848,0.9468217832147803,0.9230972082576945,0.9194015522189936,0.9279359254977764,0.9304107906912058,0.009688968300188573
