k,Diabetes log-likelihood
2,12.751049976639424
3,13.89261743755963
4,14.088653463553584
5,14.194476857387075
6,14.28725447117788
7,14.397037805315536
8,14.70109607357702
9,14.780666480141434
10,14.952764584057741
15,15.611522753052451
20,16.0245917449878
25,16.311479059461952
30,16.764820442797344
35,17.400834691957286
