k,Mushrooms log-likelihood
2,57.632410836110346
3,64.89571451541414
4,72.28432712499466
5,70.12699138940299
6,73.42092945741557
7,77.88895702782278
8,77.96276425513308
9,80.39011432287329
10,80.61722454512302
15,85.65137227831868
20,88.12489053033843
25,89.10304330256635
30,90.71900373713298
35,91.18367725505675
