k,Diabetes BIC
2,-9142.475734635667
3,-9785.281993390889
4,-9718.939675951418
5,-9584.937884391602
6,-9441.151757799773
7,-9310.119921468078
8,-9324.794285729258
9,-9171.102753717634
10,-9086.80699471993
15,-8514.028936791288
20,-7756.983996068124
25,-6905.302797249065
30,-6178.462150075935
35,-5588.626152271218
