k,Diabetes sse (left)
2,4.205911836166982
3,3.775133406657945
4,3.4387217494148303
5,3.094587084602641
6,2.7899764647346235
7,2.5614944602088316
8,2.3724097722393145
9,2.286145069946856
10,2.1830233444958913
15,1.850010562462237
20,1.6190481275793858
25,1.4610419024458192
30,1.3207305381652554
35,1.2097066004328152
