k,Mushrooms BIC
2,-455280.8837112597
3,-511356.0832078794
4,-568428.7417895019
5,-549515.6515435537
6,-573994.7007742953
7,-607819.5024440984
8,-606666.3101828498
9,-624247.3189314234
10,-624314.4185098927
15,-655682.7455129378
20,-666668.4618458226
25,-665751.0689595643
30,-669910.6250655224
35,-664905.9373150032
