k,Mushrooms sse (left)
2,12.472912148286053
3,11.832169595897753
4,11.181527340278858
5,10.613136556649238
6,10.024337622763749
7,9.470034027533595
8,9.13610836078796
9,8.685116961584765
10,8.162424255246634
15,6.620630643143771
20,5.739768291961115
25,4.929775732739387
30,4.402450708089871
35,4.05754813492189
