,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_rp__n_components,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,0.04993968009948731,0.0082914327103079,0.0007963180541992188,2.0481807322420625e-05,0.1,"(50, 50)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 2}",0.5890977443609022,0.493984962406015,0.43610038610038604,0.605019305019305,0.6057915057915056,0.545982179516434,0.06877997735142047,344,0.605345158197507,0.5700263662511984,0.49309523809523825,0.6046428571428571,0.6013095238095238,0.5748838286992649,0.04295294687258331
1,0.05664029121398926,0.011117779355299543,0.0007870674133300781,5.16086740203817e-06,0.1,"(50, 50)",3,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 3}",0.5770676691729323,0.6526315789473683,0.6496138996138997,0.6781853281853282,0.6988416988416989,0.6511323984126102,0.041273774778055695,208,0.6918863854266538,0.6463806327900287,0.6470238095238096,0.675,0.6707142857142858,0.6662010226909556,0.017424940541362885
2,0.05537548065185547,0.012321476110178727,0.0009157180786132813,0.00013670443149609032,0.1,"(50, 50)",4,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 4}",0.5624060150375939,0.4966165413533834,0.6279922779922781,0.558108108108108,0.546138996138996,0.5581453444875968,0.0420219924323717,329,0.5877396931927131,0.569391179290508,0.5932142857142858,0.6122619047619048,0.5303571428571431,0.5785928411633109,0.027721509910956184
3,0.05962562561035156,0.004623986622122896,0.000872802734375,9.960869155297539e-05,0.1,"(50, 50)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 5}",0.593609022556391,0.6402255639097744,0.7281853281853282,0.6208494208494209,0.62007722007722,0.6405011471756547,0.046198371593459964,227,0.6512823585810161,0.6618408437200382,0.6961904761904764,0.6065476190476191,0.6280952380952383,0.6487913071268776,0.030450068723939152
4,0.032718658447265625,0.0025146647012329886,0.0009195804595947266,7.594834970458e-05,0.1,"(50, 50)",6,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 6}",0.5984962406015037,0.6330827067669172,0.705984555984556,0.671042471042471,0.6789575289575288,0.6573573069015586,0.03763973814110652,185,0.6764022051773729,0.6564837008628953,0.6635714285714287,0.673809523809524,0.6751190476190477,0.6690771812080538,0.007764847090274003
5,0.06567592620849609,0.030758841840384327,0.0008571624755859375,7.895628571250339e-05,0.1,"(50, 50)",7,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 7}",0.6225563909774435,0.7229323308270676,0.4999999999999999,0.4714285714285713,0.6718146718146719,0.5980257150501197,0.0972202340881517,308,0.7806447746883989,0.7683604985618407,0.4954761904761907,0.5026190476190477,0.6821428571428572,0.6458486736976671,0.12459776348122863
6,0.04346141815185547,0.004210674648770337,0.0008488655090332031,4.739737366705826e-05,0.1,"(50, 50)",8,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 8}",0.5913533834586465,0.6834586466165414,0.5851351351351349,0.7202702702702702,0.6797297297297297,0.6519351186360889,0.05395834992965076,200,0.7090963566634706,0.7023849472674975,0.6084523809523811,0.6557142857142857,0.6823809523809524,0.6716057845957175,0.036633034867397954
7,0.06958918571472168,0.007986441191692164,0.0008414268493652343,4.8580650818459955e-05,0.1,"(50, 50)",9,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 9}",0.6022556390977444,0.6954887218045113,0.7131274131274131,0.6916988416988418,0.6988416988416988,0.680165478621815,0.03975533852339789,116,0.7234419942473633,0.6979506232023011,0.6734523809523811,0.689047619047619,0.6825,0.6932785234899329,0.01708108036863604
8,0.055371999740600586,0.01434291996050954,0.0009985923767089843,0.00011805563599318934,0.1,"(50, 50)",10,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 10}",0.5684210526315789,0.7142857142857143,0.5866795366795365,0.5723938223938222,0.5596525096525095,0.600439476314219,0.0577822137072571,306,0.6703379674017256,0.6723394055608819,0.6152380952380954,0.6221428571428572,0.545357142857143,0.6250830936401407,0.046352904607967295
9,0.05390486717224121,0.016186473822372684,0.0008212566375732422,1.4766254088394992e-05,0.1,"(50, 50)",11,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 11}",0.6383458646616542,0.6642857142857144,0.7003861003861004,0.6654440154440155,0.6861003861003862,0.6708394306012654,0.021145719208146795,145,0.7172818791946307,0.7195949185043145,0.680357142857143,0.675357142857143,0.6766666666666669,0.6938515500159796,0.020155216113953805
10,0.07153859138488769,0.016925385780166738,0.001199626922607422,0.0005068592066292196,0.1,"(50, 50)",12,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 12}",0.5853383458646616,0.594736842105263,0.6073359073359071,0.605019305019305,0.6733590733590733,0.6130717856092746,0.031080180245563624,280,0.6399209012464044,0.6215723873441993,0.6091666666666667,0.6264285714285716,0.6702380952380952,0.6334653243847874,0.02085806203541795
