,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_filter__n,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,0.13468680381774903,0.012677709633603821,0.004788398742675781,7.274072312837874e-05,0.1,"(50, 50)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 2}",0.7800751879699248,0.6665413533834585,0.6559845559845561,0.7345559845559844,0.6868725868725868,0.7048748437604657,0.04636005058287097,61,0.6918863854266538,0.7506591562799616,0.715,0.6935714285714285,0.7202380952380952,0.7142710131032278,0.021399900985557597
1,0.12826671600341796,0.010901465812648498,0.004774999618530273,9.306920797481612e-05,0.1,"(50, 50)",3,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 3}",0.7466165413533834,0.6078947368421052,0.7146718146718148,0.7044401544401543,0.7194980694980694,0.6985446781683181,0.047577906216789215,68,0.6871164908916586,0.707897890699904,0.6945238095238095,0.7245238095238096,0.7202380952380952,0.7068600191754555,0.014380880109173379
2,0.14748139381408693,0.010188312953051847,0.005464029312133789,0.0006619367728085928,0.1,"(50, 50)",4,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 4}",0.6424812030075188,0.6593984962406014,0.7003861003861004,0.74015444015444,0.686100386100386,0.6855746492912032,0.03389139922746115,86,0.6922579098753594,0.7258149568552251,0.6891666666666667,0.7179761904761905,0.7146428571428571,0.7079717162032598,0.014584433216701534
3,0.1308210849761963,0.031213224477579047,0.00490260124206543,0.0002391053798020181,0.1,"(50, 50)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 5}",0.7120300751879699,0.6413533834586465,0.558108108108108,0.612162162162162,0.5716216216216214,0.619269731780758,0.05510352361064433,292,0.7598633748801533,0.684192233940556,0.6079761904761904,0.6153571428571429,0.6320238095238097,0.6598825503355704,0.05663923999874556
4,0.1200528621673584,0.0036046375882119244,0.004736757278442383,3.96175641179214e-05,0.1,"(50, 50)",6,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 6}",0.6090225563909775,0.5766917293233081,0.6193050193050192,0.6598455598455598,0.6042471042471041,0.6137443109510148,0.026985403616041816,335,0.6347195589645254,0.6242209971236815,0.5865476190476192,0.6304761904761906,0.6497619047619048,0.6251452540747844,0.021055628077505408
5,0.12460322380065918,0.005279227230051053,0.00472564697265625,4.663784312770607e-05,0.1,"(50, 50)",7,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 7}",0.5921052631578946,0.6304511278195487,0.5405405405405405,0.6955598455598454,0.6669884169884169,0.6250774528045918,0.0546651669746397,275,0.6678451581975072,0.5913111217641418,0.5539285714285715,0.6852380952380954,0.7029761904761905,0.6402598274209013,0.057561095874658436
6,0.14686851501464843,0.005171741849596759,0.004744100570678711,3.537521155391065e-05,0.1,"(50, 50)",8,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 8}",0.6785714285714286,0.6977443609022556,0.6662162162162163,0.6988416988416988,0.6249034749034748,0.6733109385270514,0.02706381186327948,93,0.7468720038350911,0.758940556088207,0.695357142857143,0.7089285714285716,0.7002380952380953,0.7220672738894216,0.02583595638058175
7,0.14840946197509766,0.007414183722304215,0.004786157608032226,8.397853726721264e-05,0.1,"(50, 50)",9,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 9}",0.6785714285714286,0.6977443609022556,0.6662162162162163,0.6988416988416988,0.6249034749034748,0.6733109385270514,0.02706381186327948,93,0.7468720038350911,0.758940556088207,0.695357142857143,0.7089285714285716,0.7002380952380953,0.7220672738894216,0.02583595638058175
8,0.14834232330322267,0.004657784564031354,0.004770660400390625,5.998899516601445e-05,0.1,"(50, 50)",10,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 10}",0.6785714285714286,0.6977443609022556,0.6662162162162163,0.6988416988416988,0.6249034749034748,0.6733109385270514,0.02706381186327948,93,0.7468720038350911,0.758940556088207,0.695357142857143,0.7089285714285716,0.7002380952380953,0.7220672738894216,0.02583595638058175
9,0.14909639358520507,0.005759410902970443,0.004822731018066406,8.982680610591175e-05,0.1,"(50, 50)",11,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 11}",0.6785714285714286,0.6977443609022556,0.6662162162162163,0.6988416988416988,0.6249034749034748,0.6733109385270514,0.02706381186327948,93,0.7468720038350911,0.758940556088207,0.695357142857143,0.7089285714285716,0.7002380952380953,0.7220672738894216,0.02583595638058175
10,0.14767045974731446,0.003695755116436187,0.004772853851318359,4.6799423326083304e-05,0.1,"(50, 50)",12,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 12}",0.6785714285714286,0.6977443609022556,0.6662162162162163,0.6988416988416988,0.6249034749034748,0.6733109385270514,0.02706381186327948,93,0.7468720038350911,0.758940556088207,0.695357142857143,0.7089285714285716,0.7002380952380953,0.7220672738894216,0.02583595638058175
