,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_km__n_clusters,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,0.10934858322143555,0.04068849069588369,0.001266622543334961,0.0002453342054005006,0.1,"(50, 50)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 2}",0.5786092214663644,0.5,0.6895604395604396,0.6817111459968602,0.6225961538461539,0.6143780936876174,0.0701877203723639,21,0.598397435897436,0.4999999999999999,0.6860805860805861,0.6919413919413919,0.5620748299319728,0.6076988487702774,0.07349505048171812
1,0.16570887565612794,0.026570261909962867,0.0013763427734375,0.00014351027243179968,0.1,"(50, 50)",3,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 3}",0.5740740740740742,0.5282574568288854,0.5,0.6989795918367347,0.5897435897435899,0.5781691571215382,0.06833144319538413,85,0.5163461538461539,0.5377289377289376,0.5186813186813187,0.6197802197802198,0.6784013605442176,0.5741875981161695,0.06433507453758557
2,0.5129128456115722,0.05095125931053876,0.0013675212860107422,0.00023532550980927158,0.1,"(50, 50)",4,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 4}",0.6099773242630386,0.6118524332810047,0.543956043956044,0.5463108320251178,0.5913461538461539,0.5807382405953835,0.029945349856317225,75,0.6740384615384615,0.6461538461538461,0.6194139194139194,0.5395604395604396,0.6105442176870748,0.6179421768707483,0.04504061280053571
3,0.15844144821166992,0.014175297891712256,0.0012041568756103516,0.00011458969379718269,0.1,"(50, 50)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 5}",0.6137566137566138,0.5,0.57574568288854,0.565541601255887,0.5737179487179488,0.5658591390972344,0.036934983897786405,120,0.6416666666666667,0.4999999999999999,0.5948717948717949,0.6021978021978023,0.5931972789115645,0.5863867085295656,0.04666242262112158
4,0.13757872581481934,0.019107638600567394,0.001769876480102539,0.0008589495345767548,0.1,"(50, 50)",6,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 6}",0.5000000000000002,0.5451334379905808,0.5090266875981161,0.5576923076923076,0.6330128205128206,0.5486183499040642,0.04708439775318968,162,0.4996794871794872,0.6109890109890109,0.5754578754578754,0.5238095238095238,0.6020408163265305,0.5623953427524856,0.043648326181019555
5,0.17809467315673827,0.016099154608811568,0.0011744976043701171,0.00014203628720449007,0.1,"(50, 50)",7,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 7}",0.6201814058956917,0.57574568288854,0.619701726844584,0.5937990580847723,0.6666666666666667,0.6150949473806617,0.030572861458306594,20,0.6522435897435898,0.5926739926739926,0.6699633699633699,0.59010989010989,0.6428571428571427,0.6295695970695969,0.03237492796128818
6,0.17903509140014648,0.02509673453084494,0.001288604736328125,0.00021839742568970162,0.1,"(50, 50)",8,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 8}",0.5370370370370372,0.5667189952904238,0.5788854003139717,0.6016483516483516,0.6506410256410257,0.5866832180165514,0.037992098419649366,66,0.5423076923076924,0.594139194139194,0.6703296703296704,0.6036630036630037,0.5904761904761904,0.6001831501831502,0.04101942653088929
7,0.20330662727355958,0.010893776250544154,0.0011875629425048828,0.00011092158875011251,0.1,"(50, 50)",9,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 9}",0.6201814058956917,0.5372841444270016,0.6785714285714285,0.5282574568288854,0.5280448717948719,0.5787135589278447,0.06084308313841058,81,0.6756410256410256,0.5934065934065933,0.6710622710622711,0.5355311355311355,0.5503401360544217,0.6051962323390895,0.058825532822829804
8,0.21019558906555175,0.025814236628075304,0.0014148235321044921,0.00039022295651501023,0.1,"(50, 50)",10,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 10}",0.6303854875283448,0.5,0.6389324960753533,0.6028257456828885,0.5929487179487181,0.5931183208326066,0.0495410585468779,41,0.6371794871794871,0.4948717948717947,0.6567765567765568,0.6520146520146519,0.5986394557823128,0.6078963893249607,0.06008900309162414
9,0.25225181579589845,0.04114833011019898,0.001398181915283203,0.0002860616257690267,0.1,"(50, 50)",15,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 15}",0.6386999244142103,0.5949764521193093,0.6263736263736264,0.609497645211931,0.6963141025641026,0.6330187123282363,0.034728106349918075,12,0.7076923076923076,0.5498168498168498,0.6864468864468865,0.6860805860805861,0.6374149659863945,0.6534903192046049,0.05673221591203325
10,0.2157515048980713,0.014770417064919248,0.001348733901977539,0.00031097175737162104,0.1,"(50, 50)",20,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 20}",0.5000000000000002,0.6695447409733124,0.6456043956043956,0.5847723704866562,0.5472756410256412,0.5893133612419327,0.06237502375987168,55,0.5092948717948718,0.6435897435897434,0.693040293040293,0.6172161172161171,0.5326530612244899,0.599158817373103,0.06872037408414532
