k,Diabetes BIC
2,5611.028754334868
3,5560.65840121133
4,5586.880803031067
5,5412.8858269591055
6,5570.091592276568
7,5597.938904454158
8,4849.461841643667
9,4978.535654257224
10,5122.810409435316
15,5573.396506298859
20,6211.9635733206
25,6794.002436185681
30,7412.288750766927
35,7985.1893001646695
