k,Diabetes log-likelihood
2,-6.920289341987958
3,-6.568636421909995
4,-6.319107175089732
5,-5.80262142441387
6,-5.727736662257239
7,-5.48037396258078
8,-4.197912096253545
9,-4.085518063825043
10,-3.9933919548159182
15,-3.171711171067743
20,-2.600671680863833
25,-1.9542612517843763
30,-1.3561807583264711
35,-0.6975859112905638
