k,Diabetes sse (left)
2,1850.0817648129935
3,1536.0469326147254
4,1333.745391008029
5,1172.555356483784
6,1084.643120900425
7,1013.4398824517489
8,954.3571302417378
9,910.6464330258107
10,849.8168753700515
15,698.4644716924636
20,592.8599111357793
25,510.24357402727395
30,455.77722605722636
35,419.13020023619094
