k,Mushrooms log-likelihood
2,-11.290869874201878
3,-10.402253132747342
4,-9.665059202053811
5,-7.122437251851963
6,-7.657757380448728
7,-7.375168460301261
8,-6.819865254770776
9,-6.516850725113871
10,-5.217183821132997
15,-2.4600144583165346
20,-0.3293422127469633
25,1.3212088063236753
30,2.587287747524052
35,3.972126551753533
