k,Mushrooms BIC
2,90463.84583262472
3,83688.86190618464
4,78119.20355340216
5,58178.33816533347
6,62737.891724501744
7,60786.889255665934
8,56665.081075181304
9,54551.49075465036
10,44504.54753450063
15,24049.50608417172
20,8581.381687128058
25,-3064.977746984099
30,-11650.939441248971
35,-21182.22964522551
