k,Mushrooms sse (left)
2,65918.90434173396
3,54140.73986219407
4,45411.06029572943
5,39077.206644306105
6,35249.73878030224
7,32341.147970133854
8,30299.26543517155
9,28042.03893926226
10,25999.205267921196
15,20710.282379609518
20,16677.05054833536
25,14554.935591643161
30,12691.85626214636
35,11408.881249508013
